year,age,sex,relig,abany,abpoor,abhlth,abrape
2006,33,1,4,2,2,1,2
2006,21,1,4,1,1,1,1
2006,77,1,2,2,2,2,1
2006,26,2,4,2,2,1,1
2006,24,2,2,2,2,1,1
2006,30,2,4,2,2,1,1
2006,89,1,4,1,1,1,1
2006,72,2,1,2,2,1,1
2006,42,2,2,1,1,1,1
2006,53,2,1,2,2,2,2
2006,79,1,2,1,2,1,1
2006,58,2,1,1,1,1,1
2006,51,2,1,1,1,1,1
2006,82,2,2,2,2,1,1
2006,77,2,2,2,2,1,1
2006,23,1,4,1,1,1,1
2006,36,2,2,2,2,1,1
2006,34,2,2,2,2,1,2
2006,27,2,4,2,2,2,1
2006,79,1,4,1,1,1,1
2006,39,2,1,2,2,1,1
2006,44,1,1,2,1,1,1
2006,80,2,1,2,2,1,1
2006,35,1,4,1,1,1,1
2006,60,2,1,1,2,1,2
2006,43,2,2,2,2,1,1
2006,49,2,2,1,1,1,1
2006,62,1,1,1,1,1,1
2006,34,2,1,2,2,1,1
2006,69,1,1,2,2,1,1
2006,63,1,2,1,1,1,1
2006,55,2,1,2,2,2,1
2006,27,1,1,1,1,1,1
2006,69,2,2,2,2,1,1
2006,80,2,2,2,2,1,1
2006,85,2,1,2,2,1,1
2006,77,2,2,2,2,1,1
2006,24,1,4,2,2,1,1
2006,41,2,2,1,1,1,1
2006,78,2,2,2,2,1,1
2006,75,1,1,2,2,1,2
2006,67,2,2,2,2,1,1
2006,84,1,2,1,1,1,1
2006,28,1,2,2,2,1,2
2006,77,1,2,2,2,1,1
2006,39,1,4,1,1,1,1
2006,84,1,1,2,1,1,1
2006,50,1,1,1,1,1,1
2006,20,2,1,1,1,1,1
2006,38,2,1,1,1,1,1
2006,73,2,4,1,1,1,1
2006,42,2,2,2,2,2,2
2006,66,2,1,2,2,1,1
2006,31,2,2,1,1,1,1
2006,30,1,4,2,2,1,1
2006,43,1,2,2,2,1,1
2006,31,1,2,2,2,1,2
2006,51,2,1,1,2,1,1
2006,54,1,4,1,1,1,1
2006,23,1,4,1,1,1,1
2006,43,1,4,2,2,1,2
2006,27,2,1,2,2,1,1
2006,75,1,1,1,1,1,1
2006,75,1,2,2,2,1,2
2006,31,1,4,1,1,1,1
2006,65,2,1,2,2,1,2
2006,47,2,1,1,1,1,1
2006,51,1,1,1,1,1,1
2006,29,2,1,2,2,2,2
2006,43,2,4,2,2,1,1
2006,19,1,2,1,1,1,1
2006,48,2,1,2,2,1,1
2006,65,2,2,2,2,1,1
2006,24,2,1,2,2,2,2
2006,46,2,2,2,2,1,1
2006,27,1,4,1,2,1,1
2006,58,1,1,2,2,2,2
2006,47,2,1,1,1,1,1
2006,57,2,2,1,1,1,1
2006,57,1,2,1,1,1,1
2006,72,1,2,1,1,1,1
2006,33,2,2,1,1,1,1
2006,41,2,1,1,1,1,1
2006,42,1,2,2,2,2,2
2006,57,1,2,1,1,1,1
2006,38,2,2,1,2,1,1
2006,79,1,2,2,2,2,2
2006,48,1,1,2,2,1,1
2006,52,2,2,1,1,1,1
2006,75,1,1,1,2,1,1
2006,72,1,1,2,1,1,1
2006,73,2,1,1,1,1,1
2006,64,2,2,2,2,2,2
2006,26,2,1,2,2,1,1
2006,40,1,1,1,1,1,1
2006,39,2,1,2,2,2,2
2006,27,1,4,1,1,1,1
